input,output,model,score
"republicans have blamed the increase in violent crime and homicides in 2020 and 2021 on progressives and liberals, although biden had previously rejected calls to ""defund the police"", a slogan supported by racial justice protesters.","republicans have said that progressives and liberals are responsible for the rise in violent crime and homicides in 2020 and 2021, although biden had previously said no to cutting funds for the police, which many racial justice protesters supported.",GPT-3-few-shot,77.66666666666667
the supreme court of the united kingdom unanimously denies the scottish government the right to hold a second referendum on scottish independence from the united kingdom without approval from the british government.,the supreme court of the united kingdom ruled that the scottish government cannot hold another referendum on scottish independence without permission from the british government.,GPT-3-few-shot,81.66666666666667
"on 14 november, an interview with journalist piers morgan was published, where ronaldo said that he felt ""betrayed"" by ten hag and ""two or three others"" who wanted ronaldo to leave the club, while also adding that the club ""doubted"" him when he said he could not attend pre-season training due to the illness of his daughter, and that he did not respect ten hag ""because he doesn't show respect for me"", leading him to be disappointed with the communication of the club.","on 14 november, piers morgan interviewed ronaldo, who expressed feeling ""let down"" by ten hag and a few others who wanted him to leave the club. he also said the club ""questioned"" him when he said he was not available to attend pre-season training due to his daughter being ill. ronaldo added that he felt ten hag lacked ""regard for me"", which ultimately caused ronaldo to be unhappy with the communication from the club.",GPT-3-zero-shot,71.0
"football fans around the world may find some apprehensions about going to the world cup in qatar because of the alcohol laws concerning consuming alcohol in public places, but world cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the world cup.","football fans around the world may find some apprehensions about going to the world cup in qatar because of the alcohol laws, but world cup organizers say that they will have ""sobering up"" zones where people will be told not to drink alcohol while watching the games.",Muss,60.0
"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","the wall street journal reported that ftx had given alameda research $10 billion to buy some of its business, and that alameda ceo caroline ellison had told other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about the deal.",Muss,85.0
"whereas earlier major protests, which were violently quelled by iran's government, focused on election results or economic woes, the current protest, besides increased rights for women, has one main demand: the overthrow of the islamic republic.","earlier major protests, which were violently quelled by iran's government, focused on election results or economic problems. the current protest, however, has one main demand: that the islamic republic be removed from power.",Muss,70.66666666666667
"the creative gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes encompassing kojima's life, many of which focus on the various pop culture media kojima developed an adoration for and how they have impacted him.","the creative gene is an autobiography composed of short stories, essays, and stories from kojima's life. many of these focus on the pop culture media he loves and how it has impacted him.",GPT-3-few-shot,79.0
united began seeking legal action over whether ronaldo had breached his contract and was looking to terminate his contract.,united sought legal action when ronaldo tried to breach his contract.,Human 2 Writing,64.0
"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.",the non-profit organization iran human rights says that at least 378 people including 43 minors had been killed because of the government's actions in the protests. these actions involved tear gas and gunfire. these protests have been the deadliest since the 2019–2020 protests.,Human 1 Writing,79.33333333333333
"football fans around the world may find some apprehensions about going to the world cup in qatar because of the alcohol laws concerning consuming alcohol in public places, but world cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the world cup.","fans around the world are unsure about going to the world cup in qatar because of its alcohol laws. in response, world cup organizers say they will create “sobering up” zones to make fans feel safer.",Human 2 Writing,88.33333333333333
"however, upon flynn's apparent success in securing sufficient backing to become council president, arroyo released a statement that acted as an informal concession of sorts, giving strong praise to flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role.""","when it was clear flynn was going to be council president, arroyo gave a concession speech. he praised flynn’s good qualities and said that he wants to see flynn use these qualities while president.",Human 2 Writing,96.66666666666669
"the film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.","the movie has grossed over $ 570 million worldwide, becoming the eighth highest-grossing movie of 2022.",T5-3B,73.33333333333333
"football fans around the world may find some apprehensions about going to the world cup in qatar because of the alcohol laws concerning consuming alcohol in public places, but world cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the world cup.","football fans may have concerns about going to the world cup in qatar due to its alcohol laws. world cup organizers have introduced designated ""sobering up"" zones to ensure fans feel secure and relaxed when attending.",GPT-3-zero-shot,83.33333333333333
"described as a darkly comedic bio-pic, emilia jones was confirmed to be portraying the whistle-blower reality winner from a script written by kerry howley based on her own 2017 new york magazine feature, ""who is reality winner?"" with fogel also on board to direct.","emilia jones has been cast to play the role of whistle-blower reality winner in a dark comedy biopic. kerry howley wrote the script based on her own 2017 new york magazine feature ""who is reality winner?"" and fogel is directing the film.",GPT-3-few-shot,81.66666666666667
"republicans have blamed the increase in violent crime and homicides in 2020 and 2021 on progressives and liberals, although biden had previously rejected calls to ""defund the police"", a slogan supported by racial justice protesters.","republicans blamed the increase in violent crime in 2020 and 2021 on democrats. however, biden has refused to “defund the police”, a slogan supported by racial justice protesters.",Human 1 Writing,70.66666666666667
united began seeking legal action over whether ronaldo had breached his contract and was looking to terminate his contract.,united started legal action to see if ronaldo had broken his contract. they wanted to end his contract.,Muss,85.0
"the architecture of winchester college is a diverse set of architectural styles, reflecting the multiple periods of building from the college's foundation in 1382, through additions in the medieval and early modern periods, to a major expansion of accommodation in the victorian era and then further extensions at the turn of the 20th century and more recently.","winchester college was built in several architectural styles over its long history, beginning in 1382. additions and extensions were made in the medieval and early modern periods, and then more additions in the victorian era and again in the 20th century.",GPT-3-few-shot,80.66666666666667
"the film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.","the movie has so far made over $552 million worldwide, making it the eighth highest-grossing movie.",Muss,80.0
"repeatedly besieged during the war of restoration of independence, it was during the siege of the city of elvas, led by the spanish commander don luis de haro in 1658, that the fort stood out for its defenders' heroic resistance.","it was besieged repeatedly during the war of restoration of independence. during the siege of the city of elvas led by the spanish commander don luis de haro in 1658, the fort stood out for its defenders'heroic resistance.",T5-3B,62.66666666666666
"the film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when hélène abandons the house soon after the baby's birth to look for the father.","the movie is about a family who spend months living in virtual isolation because their daughter hélène has gotten pregnant after a one-night stand. after the baby is born, hélène leaves the house to look for the father, but the family does not know if the father is the father of the baby or not.",Muss,68.33333333333333
"the film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.",the film has made more than $552 million at the box office and is currently the eighth most successful movie of 2022.,GPT-3-zero-shot,66.66666666666667
united began seeking legal action over whether ronaldo had breached his contract and was looking to terminate his contract.,"manchester united started looking for a legal solution to the problem of whether or not cristiano ronaldo had violated the terms of his contract, with the intention of ending it.",GPT-3-zero-shot,64.0
"the activists called out to the russian delegation, stating that the russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.",the activists targeted the russian delegation at a conference. they said russians did not deserve respect nor should be at the conference.,Human 2 Writing,81.66666666666667
"the activists called out to the russian delegation, stating that the russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.","the activists shouted at the russian delegation, accusing them of being war criminals and saying that they had no right to attend the conference and did not deserve respect.",GPT-3-zero-shot,81.66666666666667
"the film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when hélène abandons the house soon after the baby's birth to look for the father.",the movie is about a reclusive family who spend months living in virtual isolation in the family mansion to prevent their community from finding out that daughter hesseen has gotten pregnant from a one-night stand. their fragile equilibrium is challenged when hesseen leaves the house soon after the baby's birth to look for the father.,T5-3B,68.33333333333333
"in more recent practice, between the announcement of the nomination and the start of hearings, the judiciary committee undertakes an investigative stage in which committee members and their staffs prepare for the hearings by looking over the background of the nominees and relevant issues.","in more recent practice, between the announcement of the nomination and the start of hearings, the judiciary committee and its staffs prepare for the hearings by looking over the background of the nominees and the issues that will be discussed in the hearings.",Muss,68.33333333333333
"days prior to the start of the 2022 fifa world cup, qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.","before the 2022 fifa world cup, qatar was accused of hiring paid actors to act as fans at the tournament to promote the country.",Human 1 Writing,81.66666666666667
"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","iran human rights, a non-profit organization, reported on 19 november 2022 that at least 378 people, including 43 minors, had been killed due to the government's use of tear gas and gunfire against protesters. this was the deadliest protest since 2019–2020, with over 1,500 fatalities.",GPT-3-few-shot,82.33333333333333
"whereas earlier major protests, which were violently quelled by iran's government, focused on election results or economic woes, the current protest, besides increased rights for women, has one main demand: the overthrow of the islamic republic.","previous protests in iran had been about election results and economic troubles, and the government had responded violently. now, protesters want more rights for women, but their main goal is to end the islamic republic.",GPT-3-few-shot,92.0
"on november 2, 2022, poland's minister of national defence mariusz blaszczak announces the construction of a barrier along the border with the russian exclave of kaliningrad, as poland believes that russia will use the border to illegally transport african and asian immigrants to europe.","recently,  poland’s minister of national defence announced that poland will create a barrier along its border with the russian exclave of kaliningrad. they aim to stop russia from illegally transporting migrants to europe.",Human 2 Writing,76.66666666666667
"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","anonymous sources told the wall street journal that ftx lent $10 billion of their customer assets to alameda research in 2022. ceo caroline ellison let other alameda employees know that she, sam bankman-fried, gary wang, and nishad singh were aware of this decision.",GPT-3-zero-shot,75.66666666666667
"on november 2, 2022, poland's minister of national defence mariusz blaszczak announces the construction of a barrier along the border with the russian exclave of kaliningrad, as poland believes that russia will use the border to illegally transport african and asian immigrants to europe.","on november 2, 2022, mariusz blaszczak, poland's minister of national defence, announced plans to build a barrier along the border with kaliningrad, a russian exclave. poland fears that russia might use the border to smuggle african and asian immigrants into europe.",GPT-3-few-shot,76.66666666666667
"widespread blackouts are reported in western ukraine as russian forces launch another wave of cruise missile strikes, including the city of lviv which has experienced a total blackout.","russia has launched a new series of cruise missile strikes, mainly in western ukraine. this has resulted in many power cuts, with lviv suffering a full blackout.",GPT-3-zero-shot,80.0
"whereas earlier major protests, which were violently quelled by iran's government, focused on election results or economic woes, the current protest, besides increased rights for women, has one main demand: the overthrow of the islamic republic.","earlier major protests focused on election results or economic problems and were violently stopped by iran’s government. in addition to increasing women’s rights, the current protest has one main demand: the overthrow of the islamic republic.",Human 1 Writing,79.0
"in the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.","painted decoration is preserved on the interior, facade, and portico of the building, which was done in two separate time periods. the first was likely when it was first constructed, while the second likely happened after 1913 when the building's use changed.",GPT-3-zero-shot,60.0
"the film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when hélène abandons the house soon after the baby's birth to look for the father.","a wealthy family isolates themselves in their mansion to hide that daughter hélène is pregnant from a one-night stand. but, their fragile balance is broken when hélène leaves the house to look for the father after the baby is born.",GPT-3-few-shot,70.0
"musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.","musk also said he would create a ""content moderation council"" with people with different views to decide how the platform should handle free speech. he said he would not make any major content decisions or changes until then.",Muss,85.0
"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people, including 43 minors under 18 years of age, had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire. this number does not include people killed during the original protests.",Muss,40.0
"major american and british oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.","major american and british oil producers reported record profits in 2022, rather than following their past practice of plowing profits back into more production, they rewarded their shareholders with dividends and stock buybacks.",Muss,72.33333333333333
"football fans around the world may find some apprehensions about going to the world cup in qatar because of the alcohol laws concerning consuming alcohol in public places, but world cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the world cup.","football fans around the world may be apprehensions about going to the world cup in qatar because of the alcohol laws. however, world cup organizers announced the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the world cup.",T5-3B,61.0
"the sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",the sentence was a 400$ fine and a three-year supervised release after jail.,Human 2 Writing,97.66666666666669
"on november 2, 2022, poland's minister of national defence mariusz blaszczak announces the construction of a barrier along the border with the russian exclave of kaliningrad, as poland believes that russia will use the border to illegally transport african and asian immigrants to europe.","on november 2, 2022, poland's minister of national defence mariusz blaszczak announces the construction of a barrier along the border with the russian exclave of kaliningrad. poland believes that russia will use the border to illegally transport african and asian immigrants to europe.",T5-3B,57.66666666666666
"about 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.",about 80 percent of buildings in the area were rebuilt or changed after the 1999 earthquake. this made the 1999 earthquake less bad.,Muss,75.66666666666667
united began seeking legal action over whether ronaldo had breached his contract and was looking to terminate his contract.,united started to see if ronaldo had legally broken his contract. they wanted to end his contract.,Human 1 Writing,77.33333333333333
"the sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.","the sentence included a fine of $400, or $100 for each count of fraud. after the prison term, he was released on supervised release.",Muss,53.66666666666666
"the sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",you will receive a fine of $400 for the fraud or $100 for each count. you will also be under supervised release for three years after the prison term.,GPT-3-zero-shot,36.66666666666666
"republicans have blamed the increase in violent crime and homicides in 2020 and 2021 on progressives and liberals, although biden had previously rejected calls to ""defund the police"", a slogan supported by racial justice protesters.","republicans have blamed the increase in violent crime and homicides in 2020 on progressives and liberals. biden previously rejected calls to ""defund the police "", a slogan supported by racial justice protesters.",T5-3B,61.0
"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has published several books, notably fantastic fungi community cookbook (2021). this book includes recipes from wild mushroom foragers, mycologists, and chefs who specialize in mushroom-based dishes.",GPT-3-zero-shot,84.0
"days prior to the start of the 2022 fifa world cup, qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.","days before the start of the 2022 fifa world cup, qatar was accused of having paid actors to play the role of fans at the tournament in order to promote the country.",T5-3B,59.333333333333336
"whereas earlier major protests, which were violently quelled by iran's government, focused on election results or economic woes, the current protest, besides increased rights for women, has one main demand: the overthrow of the islamic republic.","earlier protests, which were forcefully put down by iranian authorities, dealt with election results or financial difficulties. now, the current demonstration is demanding the collapse of the islamic republic, in addition to more rights for women.",GPT-3-zero-shot,79.66666666666667
"the sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.","they imposed a fine of $400, or $100 per count of fraud, and three years of supervised release following the prison sentence.",GPT-3-few-shot,60.333333333333336
"the club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","the club said on social media that customers stopped the gunman, that it was ""devastated by the senseless attack on our community "", and that it offered condolences to the victims and their families.",T5-3B,61.66666666666666
"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has written many books, like the fantastic fungi community cookbook (2021). it has recipes from foragers, scientists, and chefs who specialize in dishes with mushrooms.",GPT-3-few-shot,94.33333333333331
"major american and british oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.","oil companies in the united states and uk announced exceptionally high profits in 2022. as a result, they distributed dividends to their shareholders and repurchased stocks instead of reinvesting the money into additional production like they had done in the past.",GPT-3-zero-shot,76.33333333333333
"repeatedly besieged during the war of restoration of independence, it was during the siege of the city of elvas, led by the spanish commander don luis de haro in 1658, that the fort stood out for its defenders' heroic resistance.","repeatedly attacked during the war of restoration of independence, it was during the attack on the city of elvas that the fort stood out for its heroic resistance.",Human 1 Writing,68.33333333333333
"in the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.",painted decoration is preserved in the interior and on the facade. this preservation possibly occurred during its construction and its change of use after 1913.,Human 1 Writing,59.0
"the club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","the club reported on social media that customers were able to contain the gunman. they expressed that they were ""shocked and saddened by the vicious attack on our community"" and offered their deepest sympathies to the victims and their families.",GPT-3-few-shot,76.33333333333333
"the film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when hélène abandons the house soon after the baby's birth to look for the father.","the film follows an isolated wealthy family. in order to stop their community from knowing that the daughter hélène is pregnant after a one-night stand, they do not leave their mansion for months. when hélène gives birth and runs away from the home to look for the father, the fragile balance of the home breaks.",Human 2 Writing,83.0
"the activists called out to the russian delegation, stating that the russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.","the activists called out to the russian delegation, stating that the russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.",T5-3B,51.66666666666666
"in more recent practice, between the announcement of the nomination and the start of hearings, the judiciary committee undertakes an investigative stage in which committee members and their staffs prepare for the hearings by looking over the background of the nominees and relevant issues.","after announcing the nomination, the judiciary committee begins an investigation to ensure they are prepared for the upcoming hearings. this includes reviewing the nominee's background and any relevant issues.",GPT-3-zero-shot,72.33333333333333
"football fans around the world may find some apprehensions about going to the world cup in qatar because of the alcohol laws concerning consuming alcohol in public places, but world cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the world cup.","football fans may be worried about going to the world cup in qatar because of the laws about drinking alcohol in public places, but world cup organizers have created ""sobering up"" zones to make sure fans feel safe and secure.",GPT-3-few-shot,80.66666666666667
"the club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","the club announced on social media that customers had managed to overpower the gunman. they declared that they were ""deeply saddened by the senseless attack on our community"", and offered condolences to those affected and their families.",GPT-3-zero-shot,77.66666666666667
"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","according to anonymous sources, ftx lent $10 billion of its customer’s money to alameda research in 2022. the alameda ceo told her employees that she and the ftx leadership knew about the lending.",Human 2 Writing,98.33333333333331
"the architecture of winchester college is a diverse set of architectural styles, reflecting the multiple periods of building from the college's foundation in 1382, through additions in the medieval and early modern periods, to a major expansion of accommodation in the victorian era and then further extensions at the turn of the 20th century and more recently.","the architecture of winchester college is a diverse set of architectural styles, reflecting the multiple periods of building from the college's foundation in 1382, to a major expansion of accommodation at the turn of the 20th century and to further extensions at the end of the 20th century, to the present day.",Muss,65.66666666666667
"republicans have blamed the increase in violent crime and homicides in 2020 and 2021 on progressives and liberals, although biden had previously rejected calls to ""defund the police"", a slogan supported by racial justice protesters.","republicans have attributed the rise in violent crime and homicides in 2020 and 2021 to progressives and liberals, whereas biden had declined to support the ""defund the police"" slogan, favored by racial justice activists.",GPT-3-zero-shot,66.66666666666667
"however, upon flynn's apparent success in securing sufficient backing to become council president, arroyo released a statement that acted as an informal concession of sorts, giving strong praise to flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role.""","upon flynn's success in getting enough support to become council president, arroyo released a statement that was like a formal concession. he commended flynn's kindness and hard work, and expressed his expectation that flynn will make use of these qualities in his leadership role.",GPT-3-zero-shot,81.66666666666667
"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","iran human rights, a non-profit organization, reported that by 19 november 2022, 378 people, including 43 minors aged 18 or younger, had died due to the government's use of tear gas and gunfire to stop protests. this was the deadliest protest since 2019-2020, in which 1,500 people were killed.",GPT-3-zero-shot,80.33333333333333
"republicans have blamed the increase in violent crime and homicides in 2020 and 2021 on progressives and liberals, although biden had previously rejected calls to ""defund the police"", a slogan supported by racial justice protesters.","republicans have blamed the increase in violent crime on progressives and liberals. however,  biden had rejected calls from racial justice protesters to “defund the police.”",Human 2 Writing,78.0
"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has published many books including fantastic fungi community cookbook (2021). this book has recipes from wild mushroom foragers, mycologists, and other people who study mushrooms.",Muss,84.33333333333333
"the club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","the club said on social media that the gunman was subdued by customers and that it was ""devastated by the senseless attack on our community"". it offered condolences to the victims and their families.",Muss,64.33333333333333
"the creative gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes encompassing kojima's life, many of which focus on the various pop culture media kojima developed an adoration for and how they have impacted him.",the creative gene is a book about kojima’s life and the pop culture media he liked.,Human 2 Writing,91.66666666666669
"about 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.","because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.",Human 1 Writing,95.33333333333331
"the club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","on social media, the club said that customers stopped the gunman. they also said that they were “devastated by the senseless attack on our community” and that they felt sorry for the victims and their families.",Human 2 Writing,87.66666666666667
the supreme court of the united kingdom unanimously denies the scottish government the right to hold a second referendum on scottish independence from the united kingdom without approval from the british government.,the supreme court of the united kingdom said that the government of scotland had no right to hold a second referendum on independence without the permission of the british government.,Muss,73.33333333333333
